version,as_of_date,edge_id,source_node,target_node,edge_label,relation_type,kernel_treatment,runtime_behavior,archetype_condition,function_or_artifact,final_classification,claim_basis,perspective,primary_evidence_class,vault_evidence_class,all_evidence_classes,evidence_count,evidence_unit,evidence_denominator,behavioral_count,sponsor_behavioral_count,coinvestor_behavioral_count,sponsor_self_described_count,sponsor_derivative_count,manager_family_observable_n,behavioral_deal_observable_n,counterexample_count,counterexample_status,confidence,confidence_reason,implementation_reason,causal_mechanism,what_would_falsify,source_feature_ids,visual_source_id,visual_target_id,tier_c_version_scope
Engineering handoff v1.0,2026-07-16,CFG-06,Investment_Committee,Final_Legal_Authority,Whether the IC itself is the final legal authority is configurable,GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,GOVERNANCE_IMPLEMENTATION,CONFIGURABLE,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,21 IC-final and 3 separate-authority manager families; CO_INVESTOR paths often add ExCo,17,0,17,24,0,24,48,0,,HIGH,Both architectures are explicit and operationally valid.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Analytical and legal authority may be co-located or separated.,One architecture becomes universally required by governing law/documents.,"G07,G08",Investment_Committee,Final_Legal_Authority,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-07,Definitive_Legal_Documents,Final_IC,"Definitive documents may be complete, substantially negotiated or conditionally bounded at final IC",FINALIZATION,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,FUNCTION,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,8,MANAGER_FAMILIES_WITH_EXPLICIT_PARALLEL_OR_CONDITIONAL_LEGAL_PROCESS,Narrative subset of DDQ corpus,0,0,0,8,0,8,0,0,,MEDIUM,"Managers describe parallel documentation and conditional approval, but this was not a dedicated Tier B feature.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",IC can approve within bounded economic/legal parameters while documentation continues.,Adequate manager/deal evidence shows definitive documents always fully complete before final authority.,,Definitive_Legal_Documents,Final_IC,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-08,Model_Version,Memorandum_Version,Exact model-versus-memorandum completion order is configurable and often iterative,FEEDBACK,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,ARTIFACT,CONFIGURABLE,EMPIRICAL,CO_INVESTOR,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_DERIVATIVE,3,DEAL_VERSION_FAMILIES,3 deeply validated model/memo version families,3,0,3,0,2,0,3,0,,HIGH,"an anonymized deal observation, an anonymized deal observation and an anonymized deal observation show model/memo co-development and later revisions.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Narrative and economics develop together rather than in a one-way handoff.,All version-complete deal families show one fixed one-way order.,,Model_Version,Memorandum_Version,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-09,Sponsor_Underwrite,Depth_of_CoInvestor_Challenge,The depth of co-investor independent diligence is configurable,INFLUENCE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,SPONSOR_LED_COINVESTMENT,FUNCTION,CONFIGURABLE,EMPIRICAL,CO_INVESTOR,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL,48,CO_INVESTOR_OPPORTUNITIES,48 recent opportunities; detailed model/reference work varies by deal,48,0,48,0,0,0,48,0,,HIGH,"Actual CO_INVESTOR paths range from IA rejection to model recast, references, IC and ExCo.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Allocation size, information quality, timing and risk determine challenge depth.",CO_INVESTOR applies identical independent work to every opportunity.,,Sponsor_Underwrite,Depth_of_CoInvestor_Challenge,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CONV-01,Formal_ThirdParty_QoE_Report,Financial_Verification_Function,"A formal third-party QoE is an artifact, not the universal function",INFLUENCE,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,ARTIFACT,CONVENTIONAL_ARTIFACT,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;CO_INVESTOR_BEHAVIOURAL,22,MANAGER_FAMILIES_TYPICALLY_USING_FORMAL_QOE,22 observable manager families; 1 verified artifact counterexample,1,0,1,22,0,22,1,1,"One verified artifact counterexample used audits, auditor access and specialist accounting work without a formal QoE.",HIGH,The report artifact is common but substitutable; the underlying function remains structural.,Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,Different evidence packages can validate earnings and cash.,Formal QoE shown to be legally or causally indispensable in every buyout.,D08,Formal_ThirdParty_QoE_Report,Financial_Verification_Function,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CONV-02,Formal_Commissioned_CDD_Report,Commercial_Validation_Function,"A formal commissioned CDD report is an artifact, not the universal function",INFLUENCE,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,ARTIFACT,CONVENTIONAL_ARTIFACT,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES_USING_CUSTOMER_EXPERT_OR_REFERENCE_WORK,24 manager families; formal reports and internal/reference substitutes observed,5,2,3,24,0,24,5,0,,HIGH,"Commercial-validation function is universal in the DDQs, but report format/provider varies.",Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,"Internal research, references, experts or commissioned CDD can test the same hypotheses.",A formal CDD report shown to be the only viable way to validate commercial assumptions.,D07,Formal_Commissioned_CDD_Report,Commercial_Validation_Function,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CONV-03,100_Day_or_180_Day_Label,Implementation_Readiness,The 100-day versus 180-day label is conventional,INFLUENCE,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,ARTIFACT,CONVENTIONAL_ARTIFACT,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,22,MANAGER_FAMILIES,22 present/conditional among 23 observable manager families,0,0,0,22,0,23,0,0,,HIGH,Different labels and timing windows serve the same implementation-readiness function.,Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,"The function is to assign owners, actions, milestones and budget; day count is not causal.",One specific day count proves necessary across all archetypes.,U09,100_Day_or_180_Day_Label,Implementation_Readiness,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CONV-04,Named_Memo_Ladder,Progressive_Evidence_Function,Preview/PIM/FIM and similar names are conventional taxonomies,DOCUMENTARY_INHERITANCE,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,ARTIFACT,CONVENTIONAL_ARTIFACT,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,23,MANAGER_FAMILIES,23 of 24 manager families have progressive memorandum families,0,0,0,23,0,24,0,0,,HIGH,Document families converge functionally but use different names and counts.,Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,Each generation accumulates evidence and authorizes greater commitment.,A particular label shown to be necessary for valid decision-making.,"U05,U06",Named_Memo_Ladder,Progressive_Evidence_Function,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,UNV-01,Deal_Team,Ownership_and_Exit,The same deal team remains involved through ownership or exit,INFLUENCE,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,FUNCTION,UNVERIFIED,UNVERIFIED,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,9,OBSERVABLE_MANAGER_FAMILIES,9 present but 15 manager families not observable,0,0,0,9,0,9,0,0,,LOW,"All observable descriptions are positive, but missingness is too high to establish generality or necessity.",Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,"Continuity may preserve institutional knowledge, but handoffs can perform the same function.",Well-observed managers routinely use successful full handoffs.,O01,Deal_Team,Ownership_and_Exit,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,UNV-02,PreClose_Quantified_VCP,Final_Approval,A quantified VCP must always be complete before final approval,FINALIZATION,SUGGEST,Surface as guidance or optional artifact; never block state advancement.,NONE,FUNCTION,UNVERIFIED,UNVERIFIED,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families self-describe pre-close VCP; behavioural necessity coverage is thin,3,3,0,24,0,24,11,0,,MEDIUM,"Self-description is unanimous, but the archive does not yet demonstrate that every control buyout fails without a quantified pre-close VCP.",Conventional artifact or unverified claim; useful as guidance but not suitable for blocking.,A VCP is causally important when returns depend on sponsor actions; less so for passive or low-change cases.,A verified control-buyout approval and successful ownership case with no pre-close quantified VCP and no equivalent function.,U07,PreClose_Quantified_VCP,Final_Approval,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
