deal,derivation,direction,epistemic,id,label,locator,statement,type,unit,value
,,,,metric:working_capital_variance_analysis,Working Capital Variance Analysis,,,metric,,
,,,,perimeter:alderstone_working_capital_composition,Alderstone working capital composition,,,perimeter,,
keystone,,context,attested,claim:0016,,Debt and debt-like items table,Existing bank term loan outstanding is $8.60m.,claim,$m,8.60
,,,,metric:debt_-_existing_bank_term_loan,Debt - Existing Bank Term Loan,,,metric,,
,,,,perimeter:alderstone_funded_debt,Alderstone funded debt,,,perimeter,,
,,,,area:structure,Structure,,,area,,
keystone,,context,attested,claim:0017,,Debt and debt-like items table,Existing revolver outstanding is $1.50m.,claim,$m,1.50
,,,,metric:debt_-_existing_revolver,Debt - Existing Revolver,,,metric,,
keystone,,context,attested,claim:0018,,Debt and debt-like items table,Accrued interest on existing debt is $0.10m.,claim,$m,0.10
,,,,metric:debt_-_accrued_interest,Debt - Accrued Interest,,,metric,,
keystone,,context,attested,claim:0019,,Debt and debt-like items table,Finance-lease obligations outstanding are $0.55m.,claim,$m,0.55
,,,,metric:debt_-_finance-lease_obligations,Debt - Finance-Lease Obligations,,,metric,,
keystone,Term loan $8.60m + Revolver $1.50m + Accrued interest $0.10m + Finance leases $0.55m = $10.75m,context,derived,claim:0020,,Debt and debt-like items table,Total funded debt subtotal is $10.75m.,claim,$m,10.75
,,,,metric:funded_debt,Funded Debt,,,metric,,
,,,,perimeter:alderstone_total_funded_debt,Alderstone total funded debt,,,perimeter,,
keystone,,context,attested,claim:0021,,Debt and debt-like items table,Deferred acquisition consideration is $1.10m.,claim,$m,1.10
,,,,metric:debt-like_items_-_deferred_acquisition_consideration,Debt-Like Items - Deferred Acquisition Consideration,,,metric,,
,,,,perimeter:alderstone_debt-like_liabilities,Alderstone debt-like liabilities,,,perimeter,,
keystone,,context,attested,claim:0022,,Debt and debt-like items table,Transaction bonuses and payroll taxes liability is $0.85m.,claim,$m,0.85
,,,,metric:debt-like_items_-_transaction_bonuses_and_payroll_taxes,Debt-Like Items - Transaction Bonuses and Payroll Taxes,,,metric,,
keystone,,context,attested,claim:0023,,Debt and debt-like items table,Unpaid seller transaction expenses liability is $0.90m.,claim,$m,0.90
,,,,metric:debt-like_items_-_unpaid_seller_transaction_expenses,Debt-Like Items - Unpaid Seller Transaction Expenses,,,metric,,
keystone,,context,attested,claim:0024,,Debt and debt-like items table,Pre-closing income and payroll taxes liability is $0.55m.,claim,$m,0.55
,,,,metric:debt-like_items_-_pre-closing_income_and_payroll_taxes,Debt-Like Items - Pre-Closing Income and Payroll Taxes,,,metric,,
keystone,,context,attested,claim:0025,,Debt and debt-like items table,Insurance and legal-tail liabilities are $0.25m.,claim,$m,0.25
,,,,metric:debt-like_items_-_insurance_and_legal-tail_liabilities,Debt-Like Items - Insurance and Legal-Tail Liabilities,,,metric,,
keystone,Deferred acquisition $1.10m + Transaction bonuses $0.85m + Unpaid expenses $0.90m + Pre-closing taxes $0.55m + Insurance/legal $0.25m = $3.65m,context,derived,claim:0026,,Debt and debt-like items table,Total debt-like items subtotal is $3.65m.,claim,$m,3.65
,,,,metric:debt-like_items_total,Debt-Like Items Total,,,metric,,
,,,,perimeter:alderstone_total_debt-like_liabilities,Alderstone total debt-like liabilities,,,perimeter,,
keystone,Funded debt $10.75m + Debt-like items $3.65m = $14.40m,context,derived,claim:0027,,Debt and debt-like items table,Gross debt and debt-like items total $14.40m.,claim,$m,14.40
,,,,metric:gross_debt_and_debt-like_items,Gross Debt and Debt-Like Items,,,metric,,
,,,,perimeter:alderstone_total_gross_debt_and_debt-like_obligations,Alderstone total gross debt and debt-like obligations,,,perimeter,,
keystone,,context,attested,claim:0028,,Debt and debt-like items table,Acquired unrestricted cash balance is $4.20m.,claim,$m,4.20
,,,,metric:acquired_unrestricted_cash,Acquired Unrestricted Cash,,,metric,,
,,,,perimeter:alderstone_unrestricted_cash_balance,Alderstone unrestricted cash balance,,,perimeter,,
keystone,Gross debt $14.40m − Unrestricted cash $4.20m = $10.20m,context,derived,claim:0029,,Debt and debt-like items table,Net debt and debt-like items total $10.20m after deducting acquired unrestricted cash.,claim,$m,10.20
,,,,metric:net_debt_and_debt-like_items,Net Debt and Debt-Like Items,,,metric,,
,,,,perimeter:alderstone_total_net_debt_and_debt-like_obligations,Alderstone total net debt and debt-like obligations,,,perimeter,,
keystone,,context,attested,claim:0030,,Other observations,Customer master is maintained at billing-account level; parent-company aggregation is a separate analytical exercise.,claim,,
,,,,metric:customer_data_tracking_granularity,Customer Data Tracking Granularity,,,metric,,
,,,,perimeter:alderstone_customer_master_file,Alderstone customer master file,,,perimeter,,
,,,,area:operations,Operations,,,area,,
keystone,,contradicts,attested,claim:0031,,Other observations,"Acquired offices use different project, time-entry and billing processes.",claim,,
,,,,metric:operational_process_fragmentation_risk,Operational Process Fragmentation Risk,,,metric,,
,,,,perimeter:alderstone_acquired_offices,Alderstone acquired offices,,,perimeter,,
keystone,,contradicts,attested,claim:0032,,Other observations,Unbilled WIP increased faster than revenue and aging controls are inconsistent.,claim,,
,,,,metric:unbilled_wip_control_risk,Unbilled WIP Control Risk,,,metric,,
,,,,perimeter:alderstone_work-in-process_and_revenue_recognition,Alderstone work-in-process and revenue recognition,,,perimeter,,
keystone,,context,attested,claim:0033,,Other observations,Capitalized systems expenditure and EBITDA add-backs must not duplicate the same cost.,claim,,
,,,,metric:capitalized_systems_and_ebitda_double-counting_risk,Capitalized Systems and EBITDA Double-Counting Risk,,,metric,,
,,,,perimeter:alderstone_ebitda_normalization_controls,Alderstone EBITDA normalization controls,,,perimeter,,
