id,type,label,data
perimeter:riverton_industrial_group_aggregated_across_seven_billing_accounts_and_six_facilities_on_ultimate-parent_basis,perimeter,Riverton Industrial Group aggregated across seven billing accounts and six facilities on ultimate-parent basis,"{""type"": ""perimeter"", ""label"": ""Riverton Industrial Group aggregated across seven billing accounts and six facilities on ultimate-parent basis"", ""id"": ""perimeter:riverton_industrial_group_aggregated_across_seven_billing_accounts_and_six_facilities_on_ultimate-parent_basis""}"
source:data_room_extract,source,Data Room Extract,"{""type"": ""source"", ""label"": ""Data Room Extract"", ""id"": ""source:data_room_extract""}"
author:buyer/panta,author,Buyer/PANTA,"{""type"": ""author"", ""label"": ""Buyer/PANTA"", ""id"": ""author:buyer/panta""}"
claim:0005,claim,,"{""type"": ""claim"", ""value"": ""72"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller claims 72% of activity is recurring or repeat, including both scheduled programs and repeat projects."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0005""}"
metric:recurring_revenue,metric,Recurring Revenue,"{""type"": ""metric"", ""label"": ""Recurring Revenue"", ""id"": ""metric:recurring_revenue""}"
"perimeter:alderstone_scheduled_or_repeat_activity,_including_repeat_projects_as_well_as_scheduled_programs",perimeter,"Alderstone scheduled or repeat activity, including repeat projects as well as scheduled programs","{""type"": ""perimeter"", ""label"": ""Alderstone scheduled or repeat activity, including repeat projects as well as scheduled programs"", ""id"": ""perimeter:alderstone_scheduled_or_repeat_activity,_including_repeat_projects_as_well_as_scheduled_programs""}"
claim:0006,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller describes Alderstone as commercially integrated despite systems and processes remaining partially different across acquisitions."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0006""}"
metric:systems_integration,metric,Systems Integration,"{""type"": ""metric"", ""label"": ""Systems Integration"", ""id"": ""metric:systems_integration""}"
perimeter:alderstone_platform_across_four_acquired_companies,perimeter,Alderstone platform across four acquired companies,"{""type"": ""perimeter"", ""label"": ""Alderstone platform across four acquired companies"", ""id"": ""perimeter:alderstone_platform_across_four_acquired_companies""}"
area:operations,area,Operations,"{""type"": ""area"", ""label"": ""Operations"", ""id"": ""area:operations""}"
claim:0007,claim,,"{""type"": ""claim"", ""value"": ""600"", ""unit"": ""count"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""The seller states Alderstone has more than 600 active billing accounts."", ""locator"": ""Act I narrative"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0007""}"
metric:active_billing_accounts,metric,Active Billing Accounts,"{""type"": ""metric"", ""label"": ""Active Billing Accounts"", ""id"": ""metric:active_billing_accounts""}"
perimeter:alderstone_total_active_billing_accounts,perimeter,Alderstone total active billing accounts,"{""type"": ""perimeter"", ""label"": ""Alderstone total active billing accounts"", ""id"": ""perimeter:alderstone_total_active_billing_accounts""}"
area:market,area,Market,"{""type"": ""area"", ""label"": ""Market"", ""id"": ""area:market""}"
claim:0008,claim,,"{""type"": ""claim"", ""value"": ""4"", ""unit"": ""count"", ""epistemic"": ""asserted"", ""direction"": ""context"", ""statement"": ""The seller states Alderstone has completed four acquisitions since 2020."", ""locator"": ""Act I narrative"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0008""}"
metric:acquisition_count,metric,Acquisition Count,"{""type"": ""metric"", ""label"": ""Acquisition Count"", ""id"": ""metric:acquisition_count""}"
period:since_2020,period,since 2020,"{""type"": ""period"", ""label"": ""since 2020"", ""id"": ""period:since_2020""}"
perimeter:alderstone_acquisitions_completed_since_2020,perimeter,Alderstone acquisitions completed since 2020,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisitions completed since 2020"", ""id"": ""perimeter:alderstone_acquisitions_completed_since_2020""}"
claim:0009,claim,,"{""type"": ""claim"", ""value"": ""10.2"", ""unit"": ""$m"", ""epistemic"": ""observed"", ""direction"": ""contradicts"", ""statement"": ""Reported EBITDA per historical accounting records is $10.2 million, versus seller-adjusted EBITDA of $12.7 million."", ""locator"": ""Act II, five EBITDA figures table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0009""}"
"perimeter:alderstone_reported/historical_accounting_ebitda,_unadjusted",perimeter,"Alderstone reported/historical accounting EBITDA, unadjusted","{""type"": ""perimeter"", ""label"": ""Alderstone reported/historical accounting EBITDA, unadjusted"", ""id"": ""perimeter:alderstone_reported/historical_accounting_ebitda,_unadjusted""}"
area:earnings,area,Earnings,"{""type"": ""area"", ""label"": ""Earnings"", ""id"": ""area:earnings""}"
claim:0010,claim,,"{""type"": ""claim"", ""value"": ""11.9"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The QoE firm certifies normalized EBITDA of $11.9 million as an independent historical earnings view."", ""locator"": ""Act II, five EBITDA figures table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0010""}"
"perimeter:alderstone_qoe-normalized_ebitda,_independent_historical_earnings_view",perimeter,"Alderstone QoE-normalized EBITDA, independent historical earnings view","{""type"": ""perimeter"", ""label"": ""Alderstone QoE-normalized EBITDA, independent historical earnings view"", ""id"": ""perimeter:alderstone_qoe-normalized_ebitda,_independent_historical_earnings_view""}"
source:qoe_report,source,QoE Report,"{""type"": ""source"", ""label"": ""QoE Report"", ""id"": ""source:qoe_report""}"
author:qoe_firm,author,QoE Firm,"{""type"": ""author"", ""label"": ""QoE Firm"", ""id"": ""author:qoe_firm""}"
claim:0011,claim,,"{""type"": ""claim"", ""value"": ""11.4"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The Firm underwrites EBITDA at $11.4 million, applying further reserves for revenue quality, customer risk, integration cost and finance capability beyond the QoE figure."", ""locator"": ""Act II, five EBITDA figures table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0011""}"
perimeter:alderstone_firm-underwritten_ebitda_used_for_valuation_and_leverage_basis,perimeter,Alderstone firm-underwritten EBITDA used for valuation and leverage basis,"{""type"": ""perimeter"", ""label"": ""Alderstone firm-underwritten EBITDA used for valuation and leverage basis"", ""id"": ""perimeter:alderstone_firm-underwritten_ebitda_used_for_valuation_and_leverage_basis""}"
source:firm_model_summary,source,Firm Model Summary,"{""type"": ""source"", ""label"": ""Firm Model Summary"", ""id"": ""source:firm_model_summary""}"
author:panta/firm,author,PANTA/Firm,"{""type"": ""author"", ""label"": ""PANTA/Firm"", ""id"": ""author:panta/firm""}"
claim:0012,claim,,"{""type"": ""claim"", ""value"": ""12.2"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""Covenant EBITDA at entry is contractually defined at $12.2 million, distinct from firm-underwritten and QoE EBITDA figures."", ""locator"": ""Act II, five EBITDA figures table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0012""}"
period:entry_/_later_lender-defined,period,Entry / later lender-defined,"{""type"": ""period"", ""label"": ""Entry / later lender-defined"", ""id"": ""period:entry_/_later_lender-defined""}"
"perimeter:alderstone_covenant_ebitda_at_entry,_lender-defined_contractual_credit_calculation",perimeter,"Alderstone covenant EBITDA at entry, lender-defined contractual credit calculation","{""type"": ""perimeter"", ""label"": ""Alderstone covenant EBITDA at entry, lender-defined contractual credit calculation"", ""id"": ""perimeter:alderstone_covenant_ebitda_at_entry,_lender-defined_contractual_credit_calculation""}"
author:lender,author,Lender,"{""type"": ""author"", ""label"": ""Lender"", ""id"": ""author:lender""}"
area:structure,area,Structure,"{""type"": ""area"", ""label"": ""Structure"", ""id"": ""area:structure""}"
claim:0013,claim,,"{""type"": ""claim"", ""value"": ""0.5"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The QoE firm declines to accept $0.5 million of seller-included pricing and utilization initiatives as historical earnings since they have not yet been achieved."", ""locator"": ""Act II narrative"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0013""}"
metric:ebitda_add-back,metric,EBITDA Add-back,"{""type"": ""metric"", ""label"": ""EBITDA Add-back"", ""id"": ""metric:ebitda_add-back""}"
"perimeter:alderstone_pricing_and_utilization_initiative_add-backs,_not_yet_achieved",perimeter,"Alderstone pricing and utilization initiative add-backs, not yet achieved","{""type"": ""perimeter"", ""label"": ""Alderstone pricing and utilization initiative add-backs, not yet achieved"", ""id"": ""perimeter:alderstone_pricing_and_utilization_initiative_add-backs,_not_yet_achieved""}"
claim:0014,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""There are no minimum-volume guarantees with Riverton, and the relationship can be reduced or terminated with ordinary notice, though it spans years, facilities and service lines."", ""locator"": ""Act II, customer-concentration trap"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0014""}"
metric:customer_contract_terms,metric,Customer Contract Terms,"{""type"": ""metric"", ""label"": ""Customer Contract Terms"", ""id"": ""metric:customer_contract_terms""}"
perimeter:riverton_industrial_group_relationship_terms,perimeter,Riverton Industrial Group relationship terms,"{""type"": ""perimeter"", ""label"": ""Riverton Industrial Group relationship terms"", ""id"": ""perimeter:riverton_industrial_group_relationship_terms""}"
claim:0015,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The Firm's canonical position treats Riverton as a major concentration risk but keeps it in the base case while modelling a material reduction in the downside case, given tenure, multiple facilities and service lines."", ""locator"": ""Act II, Canonical Case Position callout"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0015""}"
metric:concentration_risk_position,metric,Concentration Risk Position,"{""type"": ""metric"", ""label"": ""Concentration Risk Position"", ""id"": ""metric:concentration_risk_position""}"
perimeter:alderstone_base_case_treatment_of_riverton_concentration_risk,perimeter,Alderstone base case treatment of Riverton concentration risk,"{""type"": ""perimeter"", ""label"": ""Alderstone base case treatment of Riverton concentration risk"", ""id"": ""perimeter:alderstone_base_case_treatment_of_riverton_concentration_risk""}"
source:firm_initial_assessment,source,Firm Initial Assessment,"{""type"": ""source"", ""label"": ""Firm Initial Assessment"", ""id"": ""source:firm_initial_assessment""}"
claim:0016,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The buyer finds that despite the seller calling the platform integrated due to shared branding and commercial coordination, billing systems, project codes, customer masters, time-entry systems, WIP controls and AR processes remain fragmented across four acquisitions."", ""locator"": ""Act II, integration risk section"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0016""}"
metric:systems_integration_risk,metric,Systems Integration Risk,"{""type"": ""metric"", ""label"": ""Systems Integration Risk"", ""id"": ""metric:systems_integration_risk""}"
"perimeter:alderstone_four_acquired_businesses'_billing,_project_code,_customer_master,_time-entry,_wip_and_ar_systems",perimeter,"Alderstone four acquired businesses' billing, project code, customer master, time-entry, WIP and AR systems","{""type"": ""perimeter"", ""label"": ""Alderstone four acquired businesses' billing, project code, customer master, time-entry, WIP and AR systems"", ""id"": ""perimeter:alderstone_four_acquired_businesses'_billing,_project_code,_customer_master,_time-entry,_wip_and_ar_systems""}"
claim:0017,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The Firm identifies that a failed systems migration could delay invoices, increase WIP and DSO, divert managers, lower utilization, damage service, lose customers, weaken EBITDA and increase leverage, a causal path that later occurs."", ""locator"": ""Act II, integration risk section"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0017""}"
metric:integration_failure_risk,metric,Integration Failure Risk,"{""type"": ""metric"", ""label"": ""Integration Failure Risk"", ""id"": ""metric:integration_failure_risk""}"
period:fy2025-fy2027,period,FY2025-FY2027,"{""type"": ""period"", ""label"": ""FY2025-FY2027"", ""id"": ""period:fy2025-fy2027""}"
perimeter:alderstone_systems_migration_causal_risk_pathway,perimeter,Alderstone systems migration causal risk pathway,"{""type"": ""perimeter"", ""label"": ""Alderstone systems migration causal risk pathway"", ""id"": ""perimeter:alderstone_systems_migration_causal_risk_pathway""}"
claim:0018,claim,,"{""type"": ""claim"", ""value"": ""7.7"", ""unit"": ""$m"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller proposes a normalized working-capital target of $7.7 million."", ""locator"": ""Act II, working-capital problem"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0018""}"
metric:net_working_capital_target,metric,Net Working Capital Target,"{""type"": ""metric"", ""label"": ""Net Working Capital Target"", ""id"": ""metric:net_working_capital_target""}"
perimeter:alderstone_seller-proposed_normalized_working_capital_target,perimeter,Alderstone seller-proposed normalized working capital target,"{""type"": ""perimeter"", ""label"": ""Alderstone seller-proposed normalized working capital target"", ""id"": ""perimeter:alderstone_seller-proposed_normalized_working_capital_target""}"
claim:0019,claim,,"{""type"": ""claim"", ""value"": ""8.4"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The QoE firm concludes an $8.4 million normalized working-capital target is appropriate versus the seller's proposed $7.7 million."", ""locator"": ""Act II, working-capital problem"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0019""}"
"perimeter:alderstone_qoe-normalized_working_capital_target_including_aged_unbilled_wip,_billing_delays,_payroll_accruals,_deferred-revenue_normalization_and_month-end_timing",perimeter,"Alderstone QoE-normalized working capital target including aged unbilled WIP, billing delays, payroll accruals, deferred-revenue normalization and month-end timing","{""type"": ""perimeter"", ""label"": ""Alderstone QoE-normalized working capital target including aged unbilled WIP, billing delays, payroll accruals, deferred-revenue normalization and month-end timing"", ""id"": ""perimeter:alderstone_qoe-normalized_working_capital_target_including_aged_unbilled_wip,_billing_delays,_payroll_accruals,_deferred-revenue_normalization_and_month-end_timing""}"
claim:0020,claim,,"{""type"": ""claim"", ""value"": ""0.7"", ""unit"": ""$m"", ""epistemic"": ""derived"", ""direction"": ""contradicts"", ""statement"": ""The $0.7 million gap between the seller's $7.7 million and the QoE's $8.4 million working-capital target affects closing economics immediately."", ""locator"": ""Act II, working-capital problem"", ""derivation"": ""8.4 - 7.7 = 0.7"", ""deal"": ""keystone"", ""id"": ""claim:0020""}"
metric:net_working_capital_adjustment,metric,Net Working Capital Adjustment,"{""type"": ""metric"", ""label"": ""Net Working Capital Adjustment"", ""id"": ""metric:net_working_capital_adjustment""}"
perimeter:difference_between_qoe_and_seller-proposed_normalized_working_capital_targets,perimeter,Difference between QoE and seller-proposed normalized working capital targets,"{""type"": ""perimeter"", ""label"": ""Difference between QoE and seller-proposed normalized working capital targets"", ""id"": ""perimeter:difference_between_qoe_and_seller-proposed_normalized_working_capital_targets""}"
claim:0021,claim,,"{""type"": ""claim"", ""value"": """", ""unit"": """", ""epistemic"": ""attested"", ""direction"": ""contradicts"", ""statement"": ""The buyer concludes that Alderstone's earnings are lower-quality than advertised by the seller."", ""locator"": ""Act I/II summary"", ""derivation"": ""Supported by: EBITDA (reported $10.2m vs seller-adjusted $12.7m vs QoE $11.9m vs firm-underwritten $11.4m), Customer Concentration 18.2%, Systems Integration Risk"", ""deal"": ""keystone"", ""id"": ""claim:0021""}"
metric:earnings_quality_risk,metric,Earnings Quality Risk,"{""type"": ""metric"", ""label"": ""Earnings Quality Risk"", ""id"": ""metric:earnings_quality_risk""}"
perimeter:alderstone_overall_earnings_quality_versus_seller_presentation,perimeter,Alderstone overall earnings quality versus seller presentation,"{""type"": ""perimeter"", ""label"": ""Alderstone overall earnings quality versus seller presentation"", ""id"": ""perimeter:alderstone_overall_earnings_quality_versus_seller_presentation""}"
claim:0022,claim,,"{""type"": ""claim"", ""value"": ""108.0"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The Investment Committee approves the acquisition of Alderstone at $108.0 million enterprise value."", ""locator"": ""Act III, decision summary"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0022""}"
metric:enterprise_value,metric,Enterprise Value,"{""type"": ""metric"", ""label"": ""Enterprise Value"", ""id"": ""metric:enterprise_value""}"
period:entry,period,Entry,"{""type"": ""period"", ""label"": ""Entry"", ""id"": ""period:entry""}"
perimeter:alderstone_acquisition_entry_enterprise_value,perimeter,Alderstone acquisition entry enterprise value,"{""type"": ""perimeter"", ""label"": ""Alderstone acquisition entry enterprise value"", ""id"": ""perimeter:alderstone_acquisition_entry_enterprise_value""}"
source:ic_memo,source,IC Memo,"{""type"": ""source"", ""label"": ""IC Memo"", ""id"": ""source:ic_memo""}"
author:investment_committee,author,Investment Committee,"{""type"": ""author"", ""label"": ""Investment Committee"", ""id"": ""author:investment_committee""}"
area:returns,area,Returns,"{""type"": ""area"", ""label"": ""Returns"", ""id"": ""area:returns""}"
claim:0023,claim,,"{""type"": ""claim"", ""value"": ""62.0"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The acquisition is funded with $62.0 million of sponsor equity."", ""locator"": ""Act III, funding structure"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0023""}"
metric:sponsor_equity,metric,Sponsor Equity,"{""type"": ""metric"", ""label"": ""Sponsor Equity"", ""id"": ""metric:sponsor_equity""}"
"perimeter:alderstone_acquisition_funding,_sponsor_equity_component",perimeter,"Alderstone acquisition funding, sponsor equity component","{""type"": ""perimeter"", ""label"": ""Alderstone acquisition funding, sponsor equity component"", ""id"": ""perimeter:alderstone_acquisition_funding,_sponsor_equity_component""}"
claim:0024,claim,,"{""type"": ""claim"", ""value"": ""12.0"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The acquisition includes $12.0 million of seller rollover equity."", ""locator"": ""Act III, funding structure"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0024""}"
metric:seller_rollover,metric,Seller Rollover,"{""type"": ""metric"", ""label"": ""Seller Rollover"", ""id"": ""metric:seller_rollover""}"
"perimeter:alderstone_acquisition_funding,_seller_rollover_equity",perimeter,"Alderstone acquisition funding, seller rollover equity","{""type"": ""perimeter"", ""label"": ""Alderstone acquisition funding, seller rollover equity"", ""id"": ""perimeter:alderstone_acquisition_funding,_seller_rollover_equity""}"
claim:0025,claim,,"{""type"": ""claim"", ""value"": ""42.8"", ""unit"": ""$m"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The acquisition is funded with $42.8 million of first-lien debt."", ""locator"": ""Act III, funding structure"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0025""}"
metric:first-lien_debt,metric,First-Lien Debt,"{""type"": ""metric"", ""label"": ""First-Lien Debt"", ""id"": ""metric:first-lien_debt""}"
"perimeter:alderstone_acquisition_funding,_first-lien_debt_tranche",perimeter,"Alderstone acquisition funding, first-lien debt tranche","{""type"": ""perimeter"", ""label"": ""Alderstone acquisition funding, first-lien debt tranche"", ""id"": ""perimeter:alderstone_acquisition_funding,_first-lien_debt_tranche""}"
claim:0026,claim,,"{""type"": ""claim"", ""value"": ""9.5"", ""unit"": ""x"", ""epistemic"": ""observed"", ""direction"": ""context"", ""statement"": ""The dissenting IC member notes the entry multiple is 9.5x, insufficient in his view to compensate for an 18.2% customer concentration and incomplete integration."", ""locator"": ""Act III, recorded dissent"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0026""}"
metric:entry_multiple,metric,Entry Multiple,"{""type"": ""metric"", ""label"": ""Entry Multiple"", ""id"": ""metric:entry_multiple""}"
perimeter:alderstone_entry_ev/ebitda_multiple_on_firm-underwritten_basis,perimeter,Alderstone entry EV/EBITDA multiple on firm-underwritten basis,"{""type"": ""perimeter"", ""label"": ""Alderstone entry EV/EBITDA multiple on firm-underwritten basis"", ""id"": ""perimeter:alderstone_entry_ev/ebitda_multiple_on_firm-underwritten_basis""}"
author:dissenting_ic_member,author,Dissenting IC member,"{""type"": ""author"", ""label"": ""Dissenting IC member"", ""id"": ""author:dissenting_ic_member""}"
claim:0027,claim,,"{""type"": ""claim"", ""value"": ""2.00"", ""unit"": ""x"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone base case underwrites a 2.00x MOIC based on operations and deleveraging with a 9.0x exit multiple."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0027""}"
metric:moic,metric,MOIC,"{""type"": ""metric"", ""label"": ""MOIC"", ""id"": ""metric:moic""}"
period:hold_period,period,Hold period,"{""type"": ""period"", ""label"": ""Hold period"", ""id"": ""period:hold_period""}"
"perimeter:alderstone_standalone_base_case,_operations_and_deleveraging,_9.0x_exit",perimeter,"Alderstone standalone base case, operations and deleveraging, 9.0x exit","{""type"": ""perimeter"", ""label"": ""Alderstone standalone base case, operations and deleveraging, 9.0x exit"", ""id"": ""perimeter:alderstone_standalone_base_case,_operations_and_deleveraging,_9.0x_exit""}"
claim:0028,claim,,"{""type"": ""claim"", ""value"": ""14.8"", ""unit"": ""%"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone base case underwrites a 14.8% IRR."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0028""}"
metric:irr,metric,IRR,"{""type"": ""metric"", ""label"": ""IRR"", ""id"": ""metric:irr""}"
perimeter:alderstone_standalone_base_case,perimeter,Alderstone standalone base case,"{""type"": ""perimeter"", ""label"": ""Alderstone standalone base case"", ""id"": ""perimeter:alderstone_standalone_base_case""}"
claim:0029,claim,,"{""type"": ""claim"", ""value"": ""1.28"", ""unit"": ""x"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone downside case models 1.28x MOIC under lower growth, margin and cash conversion assumptions."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0029""}"
"perimeter:alderstone_standalone_downside_case,_lower_growth,_margin_and_cash_conversion",perimeter,"Alderstone standalone downside case, lower growth, margin and cash conversion","{""type"": ""perimeter"", ""label"": ""Alderstone standalone downside case, lower growth, margin and cash conversion"", ""id"": ""perimeter:alderstone_standalone_downside_case,_lower_growth,_margin_and_cash_conversion""}"
claim:0030,claim,,"{""type"": ""claim"", ""value"": ""5.1"", ""unit"": ""%"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone downside case models a 5.1% IRR."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0030""}"
perimeter:alderstone_standalone_downside_case,perimeter,Alderstone standalone downside case,"{""type"": ""perimeter"", ""label"": ""Alderstone standalone downside case"", ""id"": ""perimeter:alderstone_standalone_downside_case""}"
claim:0031,claim,,"{""type"": ""claim"", ""value"": ""2.43"", ""unit"": ""x"", ""epistemic"": ""attested"", ""direction"": ""context"", ""statement"": ""The standalone upside case models 2.43x MOIC with stronger operations and cash generation."", ""locator"": ""Act III, case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0031""}"
"perimeter:alderstone_standalone_upside_case,_stronger_operations_and_cash_generation",perimeter,"Alderstone standalone upside case, stronger operations and cash generation","{""type"": ""perimeter"", ""label"": ""Alderstone standalone upside case, stronger operations and cash generation"", ""id"": ""perimeter:alderstone_standalone_upside_case,_stronger_operations_and_cash_generation""}"
